,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,SMA 126,SMA 252,SMA 756,%K,%D
2018-09-04,25.6200008392334,28.110000610351562,25.56999969482422,28.059999465942383,28.059999465942383,192541300.0,28.059999465942383,0.44917524052527597,16.750396826910595,14.046071423424614,12.073346548610264,99.36707424365191,81.31520061687024
2018-09-05,29.40999984741211,29.940000534057617,26.84000015258789,28.510000228881836,28.510000228881836,257349000.0,28.510000228881836,0.45637870470121866,16.88960317581419,14.117420631741721,12.102473533342755,83.74999864534915,84.82934887551625
2018-09-06,28.1200008392334,28.579999923706055,27.190000534057617,27.84000015258789,27.84000015258789,143942900.0,27.84000015258789,0.44565356389048705,17.023809523809526,14.186031742701454,12.130595226767202,71.11416438458232,84.7437457578611
2018-09-07,26.959999084472656,28.270000457763672,26.799999237060547,27.3799991607666,27.3799991607666,123348700.0,27.3799991607666,0.438290019340389,17.151587297045996,14.253888883287944,12.15791004044669,64.78677837554774,73.21698046849305
2018-09-08,26.959999084472656,28.270000457763672,26.799999237060547,27.3799991607666,27.3799991607666,123348700.0,27.3799991607666,0.438290019340389,17.279365070282466,14.321746023874434,12.185224854126178,64.78677837554774,66.89590704522591
2018-09-09,26.959999084472656,28.270000457763672,26.799999237060547,27.3799991607666,27.3799991607666,123348700.0,27.3799991607666,0.438290019340389,17.407142843518937,14.389603164460924,12.212539667805666,56.8296586585904,62.134405136561945
2018-09-10,28.149999618530273,29.93000030517578,27.84000015258789,29.889999389648438,29.889999389648438,162253800.0,29.889999389648438,0.47846927728709376,17.552380932701958,14.467420623415993,12.242883582594533,99.15681042435128,73.59108248616313
2018-09-11,30.020000457763672,30.59000015258789,29.3700008392334,30.100000381469727,30.100000381469727,159902500.0,30.100000381469727,0.4818309040799368,17.69912697020031,14.5432936426193,12.273730143668159,92.55319488146466,82.8465546548021
2018-09-12,29.90999984741211,32.290000915527344,29.450000762939453,32.209999084472656,32.209999084472656,197889600.0,32.209999084472656,0.5156070691892661,17.85992061524164,14.625277765213497,12.30749998395405,98.9431728649605,96.88439272359214
2018-09-13,33.15999984741211,34.13999938964844,29.8700008392334,30.479999542236328,30.479999542236328,304147100.0,30.479999542236328,0.4879138056367922,18.005555531335254,14.698134906708248,12.338505274404294,61.146498749795754,84.21428883207362
2018-09-14,31.43000030517578,33.09000015258789,30.540000915527344,32.720001220703125,32.720001220703125,217762800.0,32.720001220703125,0.5237710156101407,18.170396812378414,14.78083332379659,12.371706334371416,84.92570958126814,81.67179373200811
2018-09-15,31.43000030517578,33.09000015258789,30.540000915527344,32.720001220703125,32.720001220703125,217762800.0,32.720001220703125,0.5237710156101407,18.335238093421573,14.863531740884932,12.404907394338537,84.92570958126814,76.99930597077733
2018-09-16,31.43000030517578,33.09000015258789,30.540000915527344,32.720001220703125,32.720001220703125,217762800.0,32.720001220703125,0.5237710156101407,18.500079374464732,14.946230157973273,12.43810845430566,84.92570958126814,84.92570958126814
2018-09-17,31.75,33.22999954223633,31.600000381469727,32.43000030517578,32.43000030517578,180410600.0,32.43000030517578,0.5191287763562645,18.660396840837265,15.026190477704246,12.47097882518062,80.04668441814069,83.29936786022563
2018-09-18,32.9900016784668,33.369998931884766,31.200000762939453,31.93000030517578,31.93000030517578,176673200.0,31.93000030517578,0.5111249408417546,18.81500001937624,15.105992067427863,12.50306877257332,69.89102127343322,78.28780509094734
2018-09-19,31.520000457763672,31.829999923706055,30.510000228881836,31.209999084472656,31.209999084472656,124287000.0,31.209999084472656,0.49959939816024634,18.96095239548456,15.182380952532329,12.534523798044397,60.08174054134399,70.00648207763929
2018-09-20,32.099998474121094,32.20000076293945,30.639999389648438,31.18000030517578,31.18000030517578,123116500.0,31.18000030517578,0.49911918756998985,19.106666686042907,15.257936507936508,12.565886232588026,59.67303783462404,63.21526654980041
2018-09-21,31.190000534057617,32.41999816894531,30.90999984741211,31.020000457763672,31.020000457763672,129792900.0,31.020000457763672,0.49655796264792335,19.249682562691824,15.333333333333334,12.59677247647886,57.493203446532135,59.08266060750004
2018-09-22,31.190000534057617,32.41999816894531,30.90999984741211,31.020000457763672,31.020000457763672,129792900.0,31.020000457763672,0.49655796264792335,19.392698439340744,15.408730158730158,12.627658720369693,57.493203446532135,58.21981490922942
2018-09-23,31.190000534057617,32.41999816894531,30.90999984741211,31.020000457763672,31.020000457763672,129792900.0,31.020000457763672,0.49655796264792335,19.53571431598966,15.484126984126984,12.658544964260525,50.47620143299423,55.154202775352815
2018-09-24,31.1299991607666,32.650001525878906,30.90999984741211,32.61000061035156,32.61000061035156,118332600.0,32.61000061035156,0.5220101620266415,19.69142860836453,15.56583333393884,12.69164020296127,67.92454414553755,58.631316341687956
2018-09-25,33.18000030517578,33.599998474121094,32.189998626708984,32.56999969482422,32.56999969482422,118570200.0,32.56999969482422,0.5213698405300203,19.846904800051735,15.64781746031746,12.724814806034956,66.52451696076717,61.6417541797663
2018-09-26,32.400001525878906,32.599998474121094,31.719999313354492,32.189998626708984,32.189998626708984,79347300.0,32.189998626708984,0.5152869084409555,19.998412722633,15.727222215561639,12.757605809383291,54.332519322520255,62.92719347627499
2018-09-27,31.860000610351562,32.630001068115234,31.389999389648438,32.59000015258789,32.59000015258789,87934400.0,32.59000015258789,0.5216900012783309,20.15063494727725,15.80706348494878,12.790992053097519,67.31395161504375,62.72366263277704
2018-09-28,32.2400016784668,32.779998779296875,29.979999542236328,30.889999389648438,30.889999389648438,165453500.0,30.889999389648438,0.49447694831611355,20.288333355434357,15.87968252954029,12.821917977913348,25.138124749067664,48.92819856221055
2018-09-29,32.2400016784668,32.779998779296875,29.979999542236328,30.889999389648438,30.889999389648438,165453500.0,30.889999389648438,0.49447694831611355,20.426031763591464,15.952301574131798,12.852843902729175,25.138124749067664,39.19673370439301
2018-09-30,32.2400016784668,32.779998779296875,29.979999542236328,30.889999389648438,30.889999389648438,165453500.0,30.889999389648438,0.49447694831611355,20.56373017174857,16.02492061872331,12.883769827545004,25.138124749067664,25.138124749067664
2018-10-01,30.690000534057617,31.90999984741211,30.25,31.420000076293945,31.420000076293945,94742900.0,31.420000076293945,0.5029610249530894,20.705634934561594,16.09940474752396,12.915396811470153,39.779032015014316,30.018427171049865
2018-10-02,30.729999542236328,30.81999969482422,28.649999618530273,29.020000457763672,29.020000457763672,145276500.0,29.020000457763672,0.4645426205898839,20.829920655205136,16.16321427481515,12.944074060551074,7.47476615707694,24.130640973719625
2018-10-03,29.040000915527344,29.219999313354492,26.540000915527344,28.43000030517578,28.43000030517578,190137200.0,28.43000030517578,0.45509809224018544,20.945873041001576,16.22559522825574,12.97263226181111,26.770538855893005,24.674779009328073
2018-10-04,27.989999771118164,28.829999923706055,27.3700008392334,27.780000686645508,27.780000686645508,95831200.0,27.780000686645508,0.44469311217776447,21.057380986592126,16.286587295078096,13.001137553699433,17.563742208505158,17.269682407158353
2018-10-05,28.06999969482422,28.469999313354492,26.93000030517578,27.350000381469727,27.350000381469727,88008500.0,27.350000381469727,0.4378098087501325,21.160158770424978,16.343730154491606,13.02951056995089,11.473084221628586,18.602455095342233
2018-10-06,28.06999969482422,28.469999313354492,26.93000030517578,27.350000381469727,27.350000381469727,88008500.0,27.350000381469727,0.4378098087501325,21.26293655425783,16.400873013905116,13.05788358620235,11.473084221628586,13.503303550587427
2018-10-07,28.06999969482422,28.469999313354492,26.93000030517578,27.350000381469727,27.350000381469727,88008500.0,27.350000381469727,0.4378098087501325,21.365714338090683,16.458015873318626,13.086256602453807,11.473084221628586,11.473084221628586
2018-10-08,26.729999542236328,27.540000915527344,25.959999084472656,26.459999084472656,26.459999084472656,103789500.0,26.459999084472656,0.42356296077240246,21.457857184939915,16.510158728039453,13.11339945830996,6.544503140634518,9.830223861297215
2018-10-09,26.149999618530273,27.709999084472656,26.0,27.239999771118164,27.239999771118164,105461800.0,27.239999771118164,0.4360489551666333,21.556190513429186,16.567182537109133,13.141838611749113,18.768339353694046,12.261975571985701
2018-10-10,27.3799991607666,27.399999618530273,24.90999984741211,25.0,25.0,147682900.0,25.0,0.40019177572549414,21.630238131871298,16.611865077699935,13.166917976878938,1.143585321508255,8.818809271945591
2018-10-11,24.739999771118164,26.200000762939453,24.549999237060547,25.299999237060547,25.299999237060547,147013800.0,25.299999237060547,0.4049940648213163,21.71285717071049,16.659682534989855,13.192420621397634,9.113001721944244,9.6749754657155
2018-10-12,26.770000457763672,26.969999313354492,25.670000076293945,26.34000015258789,26.34000015258789,111059400.0,26.34000015258789,0.42164205734695737,21.800873044937376,16.714801583971298,13.2192592456858,21.749708567309945,10.668765203587467
2018-10-13,26.770000457763672,26.969999313354492,25.670000076293945,26.34000015258789,26.34000015258789,111059400.0,26.34000015258789,0.42164205734695737,21.888888919164263,16.769920632952736,13.246097869973966,21.749708567309945,17.53747295218803
2018-10-14,26.770000457763672,26.969999313354492,25.670000076293945,26.34000015258789,26.34000015258789,111059400.0,26.34000015258789,0.42164205734695737,21.976904793391153,16.825039681934175,13.27293649426213,24.32066259627445,22.60669324363143
2018-10-15,26.3799991607666,26.770000457763672,25.75,26.260000228881836,26.260000228881836,70523500.0,26.260000228881836,0.4203614448859242,22.06047622741215,16.8833333348471,13.299523796354022,27.27274110010507,24.447704087896472
2018-10-16,26.6299991607666,28.229999542236328,26.170000076293945,28.18000030517578,28.18000030517578,92529000.0,28.18000030517578,0.4510961744829305,22.158333369663783,16.948928575667125,13.328637553270532,77.73021432145154,43.10787267261034
2018-10-17,28.40999984741211,28.530000686645508,26.920000076293945,27.299999237060547,27.299999237060547,89466900.0,27.299999237060547,0.4370094068793558,22.245476223173597,17.011230158427406,13.356428557602817,64.25232614052076,56.41842718735912
2018-10-18,27.079999923706055,27.75,26.399999618530273,26.6200008392334,26.6200008392334,79623700.0,26.6200008392334,0.42612421622667834,22.327777817135765,17.07234127180917,13.383214273150005,52.01007156388633,64.66420400861954
2018-10-19,27.030000686645508,27.100000381469727,23.600000381469727,23.65999984741211,23.65999984741211,130799900.0,23.65999984741211,0.3787414941040309,22.385873052808975,17.121349206046453,13.40584654782815,1.2170276314058668,39.159808445270976
2018-10-20,27.030000686645508,27.100000381469727,23.600000381469727,23.65999984741211,23.65999984741211,130799900.0,23.65999984741211,0.3787414941040309,22.443968288482182,17.170357140283738,13.428478822506294,1.2170276314058668,18.14804227556601
2018-10-21,27.030000686645508,27.100000381469727,23.600000381469727,23.65999984741211,23.65999984741211,130799900.0,23.65999984741211,0.3787414941040309,22.50206352415539,17.21936507452102,13.45111109718444,1.2170276314058668,1.2170276314058668
2018-10-22,24.459999084472656,25.639999389648438,24.09000015258789,25.030000686645508,25.030000686645508,114158900.0,25.030000686645508,0.40067201684796017,22.56492066761804,17.272341266510978,13.475859775114312,29.00608958734728,10.480048283386328
2018-10-23,24.18000030517578,25.260000228881836,23.850000381469727,25.09000015258789,25.09000015258789,101763000.0,25.09000015258789,0.4016324685606827,22.63158733125717,17.325158728493584,13.500396812403643,30.223117218753142,20.148744812502088
2018-10-24,25.040000915527344,25.100000381469727,22.75,22.790000915527344,22.790000915527344,134489100.0,22.790000915527344,0.364814837406821,22.681349239652118,17.367182542407324,13.521825384841394,0.6920572798505801,19.973754695316988
2018-10-25,17.920000076293945,20.149999618530273,17.719999313354492,19.270000457763672,19.270000457763672,189173700.0,19.270000457763672,0.3084678280569412,22.710079405042862,17.39527778398423,13.53849205201265,14.338584158174761,15.084586218926153
2018-10-26,18.489999771118164,18.780000686645508,17.049999237060547,17.6299991607666,17.6299991607666,119689000.0,17.6299991607666,0.2822152268074463,22.72460320639232,17.41833333742051,13.552671945284283,5.052263505829292,6.6943016479515345
2018-10-27,18.489999771118164,18.780000686645508,17.049999237060547,17.6299991607666,17.6299991607666,119689000.0,17.6299991607666,0.2822152268074463,22.739127007741775,17.44138889085679,13.566851838555916,5.052263505829292,8.147703723277772
2018-10-28,18.489999771118164,18.780000686645508,17.049999237060547,17.6299991607666,17.6299991607666,119689000.0,17.6299991607666,0.2822152268074463,22.753650809091233,17.46444444429307,13.581031731827549,5.052263505829292,5.052263505829292
2018-10-29,18.209999084472656,18.229999542236328,16.270000457763672,16.850000381469727,16.850000381469727,94479600.0,16.850000381469727,0.26972926294542493,22.76746033865308,17.484404764478167,13.594126970679671,4.730831263279292,4.945119424979283
2018-10-30,16.3799991607666,17.239999771118164,16.170000076293945,17.200000762939453,17.200000762939453,99049400.0,17.200000762939453,0.27533195391202375,22.780952408200218,17.504960321244738,13.60765871799812,8.333338477207494,6.03881108210535
2018-10-31,17.8700008392334,18.34000015258789,17.1200008392334,18.209999084472656,18.209999084472656,110463700.0,18.209999084472656,0.2914996747829894,22.806666684529137,17.530714284806024,13.62277776412863,17.616571861995585,10.226913867494115
2018-11-01,18.40999984741211,20.329999923706055,18.079999923706055,20.219999313354492,20.219999313354492,136896500.0,20.219999313354492,0.3236750972151843,22.845634929717534,17.5639682497297,13.640317445709591,37.053971857097885,21.001294065433644
2018-11-02,20.59000015258789,21.059999465942383,19.469999313354492,20.229999542236328,20.229999542236328,123788000.0,20.229999542236328,0.32383517758933955,22.887222229488312,17.596349201505145,13.658148132934771,37.14546525693888,30.60533632534411
2018-11-03,20.59000015258789,21.059999465942383,19.469999313354492,20.229999542236328,20.229999542236328,123788000.0,20.229999542236328,0.32383517758933955,22.92880952925909,17.628730153280593,13.675978820159953,37.14546525693888,37.11496745699187
2018-11-04,20.59000015258789,21.059999465942383,19.469999313354492,20.229999542236328,20.229999542236328,123788000.0,20.229999542236328,0.32383517758933955,22.97039682902987,17.661111105056037,13.693809507385133,42.87222555778874,39.05438535722215
2018-11-05,20.1200008392334,20.18000030517578,18.8799991607666,19.899999618530273,19.899999618530273,108016700.0,19.899999618530273,0.31855264737105143,23.008015874832395,17.690793642922053,13.711084638953839,41.03409768562447,40.35059616678402
2018-11-06,19.5,21.649999618530273,19.479999542236328,20.68000030517578,20.68000030517578,144995700.0,20.68000030517578,0.33103864176528225,23.05309524233379,17.723134915033977,13.729841253114126,50.50392021003475,44.80341448448265
2018-11-07,21.420000076293945,22.219999313354492,21.06999969482422,21.84000015258789,21.84000015258789,121115800.0,21.84000015258789,0.34960753771636843,23.10738095783052,17.761746028112988,13.749973528599613,93.71902134402205,61.75234641322709
2018-11-08,21.770000457763672,22.079999923706055,20.969999313354492,21.200000762939453,21.200000762939453,92387600.0,21.200000762939453,0.3393626380281028,23.15261905912369,17.798650794559055,13.769431201869217,83.14051770177386,75.78781975194356
2018-11-09,20.770000457763672,21.190000534057617,20.110000610351562,21.030000686645508,21.030000686645508,85900700.0,21.030000686645508,0.33664133273188107,23.18968255179269,17.835238097205995,13.788320091666368,80.33059873099823,85.73004592559805
2018-11-10,20.770000457763672,21.190000534057617,20.110000610351562,21.030000686645508,21.030000686645508,85900700.0,21.030000686645508,0.33664133273188107,23.226746044461688,17.871825399852934,13.807208981463518,80.33059873099823,81.26723838792344
2018-11-11,20.770000457763672,21.190000534057617,20.110000610351562,21.030000686645508,21.030000686645508,85900700.0,21.030000686645508,0.33664133273188107,23.26380953713069,17.908412702499874,13.826097871260668,80.33059873099823,80.33059873099823
2018-11-12,20.68000030517578,20.850000381469727,18.799999237060547,19.030000686645508,19.030000686645508,95948200.0,19.030000686645508,0.3046259906738415,23.283015886942547,17.936666674084133,13.842447078417218,47.27274332254499,69.31131359484714
2018-11-13,19.280000686645508,20.020000457763672,18.969999313354492,19.610000610351562,19.610000610351562,76126000.0,19.610000610351562,0.3139104386493846,23.307301612127397,17.967817469248697,13.859484116236368,48.8235395314952,58.80896052834614
2018-11-14,20.18000030517578,21.110000610351562,19.760000228881836,20.809999465942383,20.809999465942383,106344300.0,20.809999465942383,0.33311962556488267,23.343333350287544,18.001825404545617,13.878055544126601,65.94202765010928,54.012770168049826
2018-11-15,20.719999313354492,21.770000457763672,20.420000076293945,21.489999771118164,21.489999771118164,97715500.0,21.489999771118164,0.34400484674976967,23.38246033683656,18.039603180355495,13.897275120492965,78.65498462130486,64.47351726763645
2018-11-16,19.8700008392334,20.969999313354492,19.719999313354492,20.65999984741211,20.65999984741211,112376600.0,20.65999984741211,0.3307184810169716,23.417301601833767,18.075158736062427,13.915978824020062,54.38598154556583,66.32766460565999
2018-11-17,19.8700008392334,20.969999313354492,19.719999313354492,20.65999984741211,20.65999984741211,112376600.0,20.65999984741211,0.3307184810169716,23.45214286683098,18.110714291769362,13.93468252754716,54.38598154556583,62.47564923747884
2018-11-18,19.8700008392334,20.969999313354492,19.719999313354492,20.65999984741211,20.65999984741211,112376600.0,20.65999984741211,0.3307184810169716,23.486984131828187,18.146269847476294,13.953386231074257,54.38598154556583,54.38598154556583
2018-11-19,20.399999618530273,20.59000015258789,19.09000015258789,19.110000610351562,19.110000610351562,93578200.0,19.110000610351562,0.3059066031348748,23.50706350235712,18.17638889570085,13.969391522584138,9.064367437878715,39.27877684300345
2018-11-20,17.399999618530273,19.579999923706055,17.18000030517578,19.209999084472656,19.209999084472656,109869400.0,19.209999084472656,0.30750734581200917,23.525634917001877,18.206428573245095,13.984880939362542,40.27776148373587,34.57603682239347
2018-11-21,20.049999237060547,20.309999465942383,18.5,18.729999542236328,18.729999542236328,81585600.0,18.729999542236328,0.2998236710458099,23.540555545261928,18.235674604536996,14.000013213939768,31.6326399536631,26.99158962509256
2018-11-22,20.049999237060547,20.309999465942383,18.5,18.729999542236328,18.729999542236328,81585600.0,18.729999542236328,0.2998236710458099,23.556587294926718,18.2645238089183,14.015383583528024,33.769045436450384,35.22648229128311
2018-11-23,18.610000610351562,19.829999923706055,18.559999465942383,19.3799991607666,19.3799991607666,54611300.0,19.3799991607666,0.3102286511082309,23.579444431123278,18.29591269341726,14.031494693781333,47.93025669836716,37.777314029493546
2018-11-24,18.610000610351562,19.829999923706055,18.559999465942383,19.3799991607666,19.3799991607666,54611300.0,19.3799991607666,0.3102286511082309,23.602301567319838,18.32730157791622,14.047605804034642,47.93025669836716,43.209852944394896
2018-11-25,18.610000610351562,19.829999923706055,18.559999465942383,19.3799991607666,19.3799991607666,54611300.0,19.3799991607666,0.3102286511082309,23.6251587035164,18.35869046241518,14.063716914287951,47.93025669836716,47.93025669836716
